country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,28,,"TESSy COVID-19, national weekly data"
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,81,14,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,2,,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W43,2020-10-18,2020-10-24,,2,
Greece,EL,GRC,10724599,2020-W43,2020-10-18,2020-10-24,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W43,2020-10-18,2020-10-24,14,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W43,2020-10-18,2020-10-24,4,0,
Latvia,LV,LVA,1919968,2020-W43,2020-10-18,2020-10-24,6,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,,1,
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,2,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W43,2020-10-18,2020-10-24,2,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W43,2020-10-18,2020-10-24,136,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W43,2020-10-18,2020-10-24,7,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W43,2020-10-18,2020-10-24,6,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W43,2020-10-18,2020-10-24,,0,
United Kingdom,UK,GBR,66647112,2020-W43,2020-10-18,2020-10-24,10,,
Belgium,BE,BEL,11455519,2020-W42,2020-10-11,2020-10-17,15,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W42,2020-10-11,2020-10-17,12,,
Cyprus,CY,CYP,875899,2020-W42,2020-10-11,2020-10-17,2,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W42,2020-10-11,2020-10-17,53,10,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W42,2020-10-11,2020-10-17,2,,
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W42,2020-10-11,2020-10-17,,2,
Greece,EL,GRC,10724599,2020-W42,2020-10-11,2020-10-17,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W42,2020-10-11,2020-10-17,4,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W42,2020-10-11,2020-10-17,3,0,
Latvia,LV,LVA,1919968,2020-W42,2020-10-11,2020-10-17,2,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,2,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,,1,
Portugal,PT,PRT,10276617,2020-W42,2020-10-11,2020-10-17,2,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W42,2020-10-11,2020-10-17,118,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W42,2020-10-11,2020-10-17,7,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W42,2020-10-11,2020-10-17,9,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W42,2020-10-11,2020-10-17,,0,
United Kingdom,UK,GBR,66647112,2020-W42,2020-10-11,2020-10-17,10,,
Belgium,BE,BEL,11455519,2020-W41,2020-10-04,2020-10-10,7,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W41,2020-10-04,2020-10-10,8,,
Cyprus,CY,CYP,875899,2020-W41,2020-10-04,2020-10-10,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W41,2020-10-04,2020-10-10,32,7,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W41,2020-10-04,2020-10-10,1,,
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W41,2020-10-04,2020-10-10,,1,
Greece,EL,GRC,10724599,2020-W41,2020-10-04,2020-10-10,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W41,2020-10-04,2020-10-10,6,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W41,2020-10-04,2020-10-10,2,0,
Latvia,LV,LVA,1919968,2020-W41,2020-10-04,2020-10-10,2,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,,1,
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,2,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W41,2020-10-04,2020-10-10,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W41,2020-10-04,2020-10-10,94,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W41,2020-10-04,2020-10-10,4,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W41,2020-10-04,2020-10-10,9,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W41,2020-10-04,2020-10-10,,0,
United Kingdom,UK,GBR,66647112,2020-W41,2020-10-04,2020-10-10,7,,
Belgium,BE,BEL,11455519,2020-W40,2020-09-27,2020-10-03,4,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W40,2020-09-27,2020-10-03,5,,
Cyprus,CY,CYP,875899,2020-W40,2020-09-27,2020-10-03,0,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W40,2020-09-27,2020-10-03,19,4,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W40,2020-09-27,2020-10-03,2,,
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,1,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W40,2020-09-27,2020-10-03,,1,
Germany,DE,DEU,83019213,2020-W40,2020-09-27,2020-10-03,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W40,2020-09-27,2020-10-03,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W40,2020-09-27,2020-10-03,4,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W40,2020-09-27,2020-10-03,1,0,
Latvia,LV,LVA,1919968,2020-W40,2020-09-27,2020-10-03,1,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,1,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,,0,
Portugal,PT,PRT,10276617,2020-W40,2020-09-27,2020-10-03,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W40,2020-09-27,2020-10-03,54,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W40,2020-09-27,2020-10-03,2,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W40,2020-09-27,2020-10-03,7,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W40,2020-09-27,2020-10-03,,0,
United Kingdom,UK,GBR,66647112,2020-W40,2020-09-27,2020-10-03,5,,
Belgium,BE,BEL,11455519,2020-W39,2020-09-20,2020-09-26,3,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W39,2020-09-20,2020-09-26,5,,
Cyprus,CY,CYP,875899,2020-W39,2020-09-20,2020-09-26,1,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W39,2020-09-20,2020-09-26,12,3,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W39,2020-09-20,2020-09-26,2,,
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,1,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W39,2020-09-20,2020-09-26,,1,
Germany,DE,DEU,83019213,2020-W39,2020-09-20,2020-09-26,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W39,2020-09-20,2020-09-26,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W39,2020-09-20,2020-09-26,1,0,
Latvia,LV,LVA,1919968,2020-W39,2020-09-20,2020-09-26,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,,0,
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,1,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W39,2020-09-20,2020-09-26,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W39,2020-09-20,2020-09-26,48,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W39,2020-09-20,2020-09-26,2,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W39,2020-09-20,2020-09-26,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W39,2020-09-20,2020-09-26,,0,
United Kingdom,UK,GBR,66647112,2020-W39,2020-09-20,2020-09-26,3,,
Belgium,BE,BEL,11455519,2020-W38,2020-09-13,2020-09-19,2,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W38,2020-09-13,2020-09-19,4,,
Cyprus,CY,CYP,875899,2020-W38,2020-09-13,2020-09-19,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W38,2020-09-13,2020-09-19,8,1,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W38,2020-09-13,2020-09-19,2,,
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,1,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W38,2020-09-13,2020-09-19,,0,
Germany,DE,DEU,83019213,2020-W38,2020-09-13,2020-09-19,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W38,2020-09-13,2020-09-19,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W38,2020-09-13,2020-09-19,0,0,
Latvia,LV,LVA,1919968,2020-W38,2020-09-13,2020-09-19,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,1,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,,0,
Portugal,PT,PRT,10276617,2020-W38,2020-09-13,2020-09-19,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W38,2020-09-13,2020-09-19,44,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W38,2020-09-13,2020-09-19,1,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W38,2020-09-13,2020-09-19,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W38,2020-09-13,2020-09-19,,0,
United Kingdom,UK,GBR,66647112,2020-W38,2020-09-13,2020-09-19,2,,
Belgium,BE,BEL,11455519,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W37,2020-09-06,2020-09-12,5,,
Cyprus,CY,CYP,875899,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W37,2020-09-06,2020-09-12,4,1,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W37,2020-09-06,2020-09-12,1,,
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W37,2020-09-06,2020-09-12,,0,
Germany,DE,DEU,83019213,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W37,2020-09-06,2020-09-12,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W37,2020-09-06,2020-09-12,0,0,
Latvia,LV,LVA,1919968,2020-W37,2020-09-06,2020-09-12,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,,0,
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W37,2020-09-06,2020-09-12,40,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W37,2020-09-06,2020-09-12,1,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W37,2020-09-06,2020-09-12,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W37,2020-09-06,2020-09-12,,0,
United Kingdom,UK,GBR,66647112,2020-W37,2020-09-06,2020-09-12,2,,
Belgium,BE,BEL,11455519,2020-W36,2020-08-30,2020-09-05,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W36,2020-08-30,2020-09-05,5,,
Cyprus,CY,CYP,875899,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W36,2020-08-30,2020-09-05,3,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W36,2020-08-30,2020-09-05,0,,
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W36,2020-08-30,2020-09-05,,0,
Germany,DE,DEU,83019213,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W36,2020-08-30,2020-09-05,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W36,2020-08-30,2020-09-05,0,0,
Latvia,LV,LVA,1919968,2020-W36,2020-08-30,2020-09-05,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,,0,
Portugal,PT,PRT,10276617,2020-W36,2020-08-30,2020-09-05,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W36,2020-08-30,2020-09-05,41,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W36,2020-08-30,2020-09-05,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W36,2020-08-30,2020-09-05,,0,
United Kingdom,UK,GBR,66647112,2020-W36,2020-08-30,2020-09-05,1,,
Belgium,BE,BEL,11455519,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W35,2020-08-23,2020-08-29,4,,
Cyprus,CY,CYP,875899,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W35,2020-08-23,2020-08-29,2,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W35,2020-08-23,2020-08-29,0,,
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W35,2020-08-23,2020-08-29,,0,
Germany,DE,DEU,83019213,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W35,2020-08-23,2020-08-29,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W35,2020-08-23,2020-08-29,0,0,
Latvia,LV,LVA,1919968,2020-W35,2020-08-23,2020-08-29,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,,0,
Portugal,PT,PRT,10276617,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W35,2020-08-23,2020-08-29,39,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W35,2020-08-23,2020-08-29,7,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W35,2020-08-23,2020-08-29,,0,
United Kingdom,UK,GBR,66647112,2020-W35,2020-08-23,2020-08-29,1,,
Belgium,BE,BEL,11455519,2020-W34,2020-08-16,2020-08-22,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W34,2020-08-16,2020-08-22,2,,
Cyprus,CY,CYP,875899,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W34,2020-08-16,2020-08-22,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W34,2020-08-16,2020-08-22,0,,
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W34,2020-08-16,2020-08-22,,0,
Germany,DE,DEU,83019213,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W34,2020-08-16,2020-08-22,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W34,2020-08-16,2020-08-22,0,0,
Latvia,LV,LVA,1919968,2020-W34,2020-08-16,2020-08-22,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,,0,
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W34,2020-08-16,2020-08-22,39,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W34,2020-08-16,2020-08-22,6,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W34,2020-08-16,2020-08-22,,0,
United Kingdom,UK,GBR,66647112,2020-W34,2020-08-16,2020-08-22,1,,
Belgium,BE,BEL,11455519,2020-W33,2020-08-09,2020-08-15,2,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W33,2020-08-09,2020-08-15,1,,
Cyprus,CY,CYP,875899,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W33,2020-08-09,2020-08-15,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W33,2020-08-09,2020-08-15,0,,
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W33,2020-08-09,2020-08-15,,0,
Germany,DE,DEU,83019213,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W33,2020-08-09,2020-08-15,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W33,2020-08-09,2020-08-15,0,0,
Latvia,LV,LVA,1919968,2020-W33,2020-08-09,2020-08-15,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,,0,
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W33,2020-08-09,2020-08-15,22,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W33,2020-08-09,2020-08-15,4,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W33,2020-08-09,2020-08-15,,0,
United Kingdom,UK,GBR,66647112,2020-W33,2020-08-09,2020-08-15,1,,
Belgium,BE,BEL,11455519,2020-W32,2020-08-02,2020-08-08,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W32,2020-08-02,2020-08-08,1,,
Cyprus,CY,CYP,875899,2020-W32,2020-08-02,2020-08-08,0,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W32,2020-08-02,2020-08-08,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W32,2020-08-02,2020-08-08,0,,
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W32,2020-08-02,2020-08-08,,0,
Germany,DE,DEU,83019213,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W32,2020-08-02,2020-08-08,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W32,2020-08-02,2020-08-08,0,0,
Latvia,LV,LVA,1919968,2020-W32,2020-08-02,2020-08-08,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,,0,
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W32,2020-08-02,2020-08-08,39,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W32,2020-08-02,2020-08-08,3,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W32,2020-08-02,2020-08-08,,0,
