country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
United Kingdom,UK,GBR,66647112,2020-W32,2020-08-02,2020-08-08,1,,
Belgium,BE,BEL,11455519,2020-W31,2020-07-26,2020-08-01,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W31,2020-07-26,2020-08-01,1,,
Cyprus,CY,CYP,875899,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W31,2020-07-26,2020-08-01,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W31,2020-07-26,2020-08-01,0,,
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W31,2020-07-26,2020-08-01,,0,
Germany,DE,DEU,83019213,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W31,2020-07-26,2020-08-01,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W31,2020-07-26,2020-08-01,0,0,
Latvia,LV,LVA,1919968,2020-W31,2020-07-26,2020-08-01,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,,0,
Portugal,PT,PRT,10276617,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W31,2020-07-26,2020-08-01,38,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W31,2020-07-26,2020-08-01,2,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W31,2020-07-26,2020-08-01,,0,
United Kingdom,UK,GBR,66647112,2020-W31,2020-07-26,2020-08-01,1,,
Belgium,BE,BEL,11455519,2020-W30,2020-07-19,2020-07-25,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W30,2020-07-19,2020-07-25,2,,
Cyprus,CY,CYP,875899,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W30,2020-07-19,2020-07-25,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W30,2020-07-19,2020-07-25,0,,
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W30,2020-07-19,2020-07-25,,0,
Germany,DE,DEU,83019213,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W30,2020-07-19,2020-07-25,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W30,2020-07-19,2020-07-25,0,0,
Latvia,LV,LVA,1919968,2020-W30,2020-07-19,2020-07-25,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W30,2020-07-19,2020-07-25,,0,
Netherlands,NL,NLD,17282163,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W30,2020-07-19,2020-07-25,38,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W30,2020-07-19,2020-07-25,1,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W30,2020-07-19,2020-07-25,,0,
United Kingdom,UK,GBR,66647112,2020-W30,2020-07-19,2020-07-25,1,,
Belgium,BE,BEL,11455519,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W29,2020-07-12,2020-07-18,2,,
Cyprus,CY,CYP,875899,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W29,2020-07-12,2020-07-18,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W29,2020-07-12,2020-07-18,0,,
Estonia,EE,EST,1324820,2020-W29,2020-07-12,2020-07-18,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W29,2020-07-12,2020-07-18,,0,
Germany,DE,DEU,83019213,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W29,2020-07-12,2020-07-18,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W29,2020-07-12,2020-07-18,0,0,
Latvia,LV,LVA,1919968,2020-W29,2020-07-12,2020-07-18,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W29,2020-07-12,2020-07-18,,0,
Portugal,PT,PRT,10276617,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W29,2020-07-12,2020-07-18,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W29,2020-07-12,2020-07-18,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W29,2020-07-12,2020-07-18,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W29,2020-07-12,2020-07-18,,0,
United Kingdom,UK,GBR,66647112,2020-W29,2020-07-12,2020-07-18,1,,
Belgium,BE,BEL,11455519,2020-W28,2020-07-05,2020-07-11,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W28,2020-07-05,2020-07-11,2,,
Czechia,CZ,CZE,10649800,2020-W28,2020-07-05,2020-07-11,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W28,2020-07-05,2020-07-11,0,,
Estonia,EE,EST,1324820,2020-W28,2020-07-05,2020-07-11,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W28,2020-07-05,2020-07-11,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W28,2020-07-05,2020-07-11,,0,
Germany,DE,DEU,83019213,2020-W28,2020-07-05,2020-07-11,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W28,2020-07-05,2020-07-11,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W28,2020-07-05,2020-07-11,0,0,
Latvia,LV,LVA,1919968,2020-W28,2020-07-05,2020-07-11,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W28,2020-07-05,2020-07-11,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W28,2020-07-05,2020-07-11,,0,
Portugal,PT,PRT,10276617,2020-W28,2020-07-05,2020-07-11,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W28,2020-07-05,2020-07-11,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W28,2020-07-05,2020-07-11,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W28,2020-07-05,2020-07-11,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W28,2020-07-05,2020-07-11,,0,
United Kingdom,UK,GBR,66647112,2020-W28,2020-07-05,2020-07-11,1,,
Belgium,BE,BEL,11455519,2020-W27,2020-06-28,2020-07-04,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W27,2020-06-28,2020-07-04,1,,
Czechia,CZ,CZE,10649800,2020-W27,2020-06-28,2020-07-04,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W27,2020-06-28,2020-07-04,0,,
Estonia,EE,EST,1324820,2020-W27,2020-06-28,2020-07-04,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W27,2020-06-28,2020-07-04,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W27,2020-06-28,2020-07-04,,0,
Germany,DE,DEU,83019213,2020-W27,2020-06-28,2020-07-04,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W27,2020-06-28,2020-07-04,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W27,2020-06-28,2020-07-04,0,0,
Latvia,LV,LVA,1919968,2020-W27,2020-06-28,2020-07-04,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W27,2020-06-28,2020-07-04,,0,
Netherlands,NL,NLD,17282163,2020-W27,2020-06-28,2020-07-04,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W27,2020-06-28,2020-07-04,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W27,2020-06-28,2020-07-04,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W27,2020-06-28,2020-07-04,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W27,2020-06-28,2020-07-04,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W27,2020-06-28,2020-07-04,,0,
United Kingdom,UK,GBR,66647112,2020-W27,2020-06-28,2020-07-04,2,,
Belgium,BE,BEL,11455519,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W26,2020-06-21,2020-06-27,1,,
Cyprus,CY,CYP,875899,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W26,2020-06-21,2020-06-27,0,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W26,2020-06-21,2020-06-27,0,,
Estonia,EE,EST,1324820,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W26,2020-06-21,2020-06-27,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W26,2020-06-21,2020-06-27,,0,
Germany,DE,DEU,83019213,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W26,2020-06-21,2020-06-27,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W26,2020-06-21,2020-06-27,0,0,
Latvia,LV,LVA,1919968,2020-W26,2020-06-21,2020-06-27,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W26,2020-06-21,2020-06-27,,0,
Portugal,PT,PRT,10276617,2020-W26,2020-06-21,2020-06-27,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W26,2020-06-21,2020-06-27,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W26,2020-06-21,2020-06-27,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W26,2020-06-21,2020-06-27,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W26,2020-06-21,2020-06-27,,0,
United Kingdom,UK,GBR,66647112,2020-W26,2020-06-21,2020-06-27,3,,
Belgium,BE,BEL,11455519,2020-W25,2020-06-14,2020-06-20,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W25,2020-06-14,2020-06-20,0,,
Cyprus,CY,CYP,875899,2020-W25,2020-06-14,2020-06-20,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W25,2020-06-14,2020-06-20,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W25,2020-06-14,2020-06-20,0,,
Estonia,EE,EST,1324820,2020-W25,2020-06-14,2020-06-20,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W25,2020-06-14,2020-06-20,,0,
Germany,DE,DEU,83019213,2020-W25,2020-06-14,2020-06-20,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W25,2020-06-14,2020-06-20,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W25,2020-06-14,2020-06-20,0,0,
Latvia,LV,LVA,1919968,2020-W25,2020-06-14,2020-06-20,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W25,2020-06-14,2020-06-20,,0,
Netherlands,NL,NLD,17282163,2020-W25,2020-06-14,2020-06-20,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W25,2020-06-14,2020-06-20,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W25,2020-06-14,2020-06-20,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W25,2020-06-14,2020-06-20,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W25,2020-06-14,2020-06-20,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W25,2020-06-14,2020-06-20,,0,
United Kingdom,UK,GBR,66647112,2020-W25,2020-06-14,2020-06-20,3,,
Belgium,BE,BEL,11455519,2020-W24,2020-06-07,2020-06-13,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W24,2020-06-07,2020-06-13,0,,
Cyprus,CY,CYP,875899,2020-W24,2020-06-07,2020-06-13,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W24,2020-06-07,2020-06-13,0,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W24,2020-06-07,2020-06-13,0,,
Estonia,EE,EST,1324820,2020-W24,2020-06-07,2020-06-13,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W24,2020-06-07,2020-06-13,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W24,2020-06-07,2020-06-13,,0,
Germany,DE,DEU,83019213,2020-W24,2020-06-07,2020-06-13,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W24,2020-06-07,2020-06-13,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W24,2020-06-07,2020-06-13,0,0,
Latvia,LV,LVA,1919968,2020-W24,2020-06-07,2020-06-13,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W24,2020-06-07,2020-06-13,,0,
Netherlands,NL,NLD,17282163,2020-W24,2020-06-07,2020-06-13,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W24,2020-06-07,2020-06-13,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W24,2020-06-07,2020-06-13,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W24,2020-06-07,2020-06-13,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W24,2020-06-07,2020-06-13,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W24,2020-06-07,2020-06-13,,0,
United Kingdom,UK,GBR,66647112,2020-W24,2020-06-07,2020-06-13,4,,
Belgium,BE,BEL,11455519,2020-W23,2020-05-31,2020-06-06,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W23,2020-05-31,2020-06-06,0,,
Cyprus,CY,CYP,875899,2020-W23,2020-05-31,2020-06-06,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W23,2020-05-31,2020-06-06,0,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W23,2020-05-31,2020-06-06,0,,
Estonia,EE,EST,1324820,2020-W23,2020-05-31,2020-06-06,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W23,2020-05-31,2020-06-06,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W23,2020-05-31,2020-06-06,,0,
Germany,DE,DEU,83019213,2020-W23,2020-05-31,2020-06-06,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W23,2020-05-31,2020-06-06,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W23,2020-05-31,2020-06-06,0,0,
Latvia,LV,LVA,1919968,2020-W23,2020-05-31,2020-06-06,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W23,2020-05-31,2020-06-06,,0,
Netherlands,NL,NLD,17282163,2020-W23,2020-05-31,2020-06-06,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W23,2020-05-31,2020-06-06,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W23,2020-05-31,2020-06-06,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W23,2020-05-31,2020-06-06,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W23,2020-05-31,2020-06-06,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W23,2020-05-31,2020-06-06,,1,
United Kingdom,UK,GBR,66647112,2020-W23,2020-05-31,2020-06-06,5,,
Belgium,BE,BEL,11455519,2020-W22,2020-05-24,2020-05-30,2,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W22,2020-05-24,2020-05-30,0,,
Cyprus,CY,CYP,875899,2020-W22,2020-05-24,2020-05-30,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W22,2020-05-24,2020-05-30,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W22,2020-05-24,2020-05-30,0,,
Estonia,EE,EST,1324820,2020-W22,2020-05-24,2020-05-30,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W22,2020-05-24,2020-05-30,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W22,2020-05-24,2020-05-30,,0,
Germany,DE,DEU,83019213,2020-W22,2020-05-24,2020-05-30,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W22,2020-05-24,2020-05-30,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W22,2020-05-24,2020-05-30,1,0,
Latvia,LV,LVA,1919968,2020-W22,2020-05-24,2020-05-30,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W22,2020-05-24,2020-05-30,,0,
Netherlands,NL,NLD,17282163,2020-W22,2020-05-24,2020-05-30,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W22,2020-05-24,2020-05-30,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W22,2020-05-24,2020-05-30,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W22,2020-05-24,2020-05-30,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W22,2020-05-24,2020-05-30,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W22,2020-05-24,2020-05-30,,1,
United Kingdom,UK,GBR,66647112,2020-W22,2020-05-24,2020-05-30,6,,
Belgium,BE,BEL,11455519,2020-W21,2020-05-17,2020-05-23,3,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W21,2020-05-17,2020-05-23,0,,
Cyprus,CY,CYP,875899,2020-W21,2020-05-17,2020-05-23,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W21,2020-05-17,2020-05-23,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W21,2020-05-17,2020-05-23,0,,
Estonia,EE,EST,1324820,2020-W21,2020-05-17,2020-05-23,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W21,2020-05-17,2020-05-23,1,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W21,2020-05-17,2020-05-23,,0,
Germany,DE,DEU,83019213,2020-W21,2020-05-17,2020-05-23,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W21,2020-05-17,2020-05-23,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W21,2020-05-17,2020-05-23,1,0,
Latvia,LV,LVA,1919968,2020-W21,2020-05-17,2020-05-23,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W21,2020-05-17,2020-05-23,,0,
Netherlands,NL,NLD,17282163,2020-W21,2020-05-17,2020-05-23,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W21,2020-05-17,2020-05-23,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W21,2020-05-17,2020-05-23,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W21,2020-05-17,2020-05-23,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W21,2020-05-17,2020-05-23,0,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W21,2020-05-17,2020-05-23,,1,
United Kingdom,UK,GBR,66647112,2020-W21,2020-05-17,2020-05-23,8,,
Belgium,BE,BEL,11455519,2020-W20,2020-05-10,2020-05-16,3,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W20,2020-05-10,2020-05-16,0,,
Cyprus,CY,CYP,875899,2020-W20,2020-05-10,2020-05-16,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W20,2020-05-10,2020-05-16,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W20,2020-05-10,2020-05-16,1,,
Estonia,EE,EST,1324820,2020-W20,2020-05-10,2020-05-16,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W20,2020-05-10,2020-05-16,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W20,2020-05-10,2020-05-16,,0,
Germany,DE,DEU,83019213,2020-W20,2020-05-10,2020-05-16,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W20,2020-05-10,2020-05-16,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W20,2020-05-10,2020-05-16,1,0,
Latvia,LV,LVA,1919968,2020-W20,2020-05-10,2020-05-16,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W20,2020-05-10,2020-05-16,,0,
Netherlands,NL,NLD,17282163,2020-W20,2020-05-10,2020-05-16,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W20,2020-05-10,2020-05-16,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W20,2020-05-10,2020-05-16,,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W20,2020-05-10,2020-05-16,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W20,2020-05-10,2020-05-16,1,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W20,2020-05-10,2020-05-16,,1,
United Kingdom,UK,GBR,66647112,2020-W20,2020-05-10,2020-05-16,9,,
Belgium,BE,BEL,11455519,2020-W19,2020-05-03,2020-05-09,5,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W19,2020-05-03,2020-05-09,0,,
Cyprus,CY,CYP,875899,2020-W19,2020-05-03,2020-05-09,0,0,"TESSy COVID-19, national daily data"
